Year,Cause_Name,State,Deaths
2017,Diabetes,New York,4176
2017,Diabetes,North Carolina,2903
2017,Diabetes,North Dakota,194
2017,Diabetes,Ohio,3740
2017,Diabetes,Oklahoma,1398
2017,Diabetes,Oregon,1243
2017,Diabetes,Pennsylvania,3704
2017,Diabetes,Rhode Island,275
2017,Diabetes,South Carolina,1535
2017,Diabetes,South Dakota,263
2017,Diabetes,Tennessee,1915
2017,Diabetes,Texas,5832
2017,Diabetes,Utah,596
2017,Diabetes,Vermont,163
2017,Diabetes,Virginia,1967
2017,Diabetes,Washington,1812
2017,Diabetes,West Virginia,864
2017,Diabetes,Wisconsin,1433
2017,Diabetes,Wyoming,121
2017,Heart disease,Alabama,13110
2017,Heart disease,Alaska,814
2017,Heart disease,Arizona,12398
2017,Heart disease,Arkansas,8270
2017,Heart disease,California,62797
2017,Heart disease,Colorado,7060
2017,Heart disease,Connecticut,7138
2017,Heart disease,Delaware,1990
2017,Heart disease,District of Columbia,1284
2017,Heart disease,Florida,46440
2017,Heart disease,Georgia,18389
2017,Heart disease,Hawaii,2575
2017,Heart disease,Idaho,3084
2017,Heart disease,Illinois,25394
2017,Heart disease,Indiana,14445
2017,Heart disease,Iowa,7180
2017,Heart disease,Kansas,5723
2017,Heart disease,Kentucky,10343
2017,Heart disease,Louisiana,11260
2017,Heart disease,Maine,2844
2017,Heart disease,Maryland,11653
2017,Heart disease,Massachusetts,12140
2017,Heart disease,Michigan,25187
2017,Heart disease,Minnesota,8230
2017,Heart disease,Mississippi,7944
2017,Heart disease,Missouri,14820
2017,Heart disease,Montana,2164
2017,Heart disease,Nebraska,3581
2017,Heart disease,Nevada,6417
2017,Heart disease,New Hampshire,2721
2017,Heart disease,New Jersey,18840
2017,Heart disease,New Mexico,3896
2017,Heart disease,New York,44092
2017,Heart disease,North Carolina,18808
2017,Heart disease,North Dakota,1326
2017,Heart disease,Ohio,28008
2017,Heart disease,Oklahoma,10772
2017,Heart disease,Oregon,6942
2017,Heart disease,Pennsylvania,32312
2017,Heart disease,Rhode Island,2339
2017,Heart disease,South Carolina,10418
2017,Heart disease,South Dakota,1710
2017,Heart disease,Tennessee,16019
2017,Heart disease,Texas,45346
2017,Heart disease,Utah,3749
2017,Heart disease,Vermont,1332
2017,Heart disease,Virginia,14861
2017,Heart disease,Washington,11582
2017,Heart disease,West Virginia,4849
2017,Heart disease,Wisconsin,11860
2017,Heart disease,Wyoming,1001
2016,Stroke,Alabama,2967
2016,Stroke,Alaska,196
2016,Stroke,Arizona,2556
2016,Stroke,Arkansas,1643
2016,Stroke,California,15680
2016,Stroke,Colorado,1927
2016,Stroke,Connecticut,1269
2016,Stroke,Delaware,506
2016,Stroke,District of Columbia,252
2016,Stroke,Florida,11854
2016,Stroke,Georgia,4349
2016,Stroke,Hawaii,675
2016,Stroke,Idaho,682
2016,Stroke,Illinois,5658
2016,Stroke,Indiana,3040
2016,Stroke,Iowa,1388
2016,Stroke,Kansas,1363
2016,Stroke,Kentucky,2057
2016,Stroke,Louisiana,2322
2016,Stroke,Maine,663
2016,Stroke,Maryland,2709
2016,Stroke,Massachusetts,2468
2016,Stroke,Michigan,4874
2016,Stroke,Minnesota,2197
2016,Stroke,Mississippi,1705
2016,Stroke,Missouri,3069
2016,Stroke,Montana,440
2016,Stroke,Nebraska,787
2016,Stroke,Nevada,1096
2016,Stroke,New Hampshire,490
2016,Stroke,New Jersey,3401
2016,Stroke,New Mexico,885
2016,Stroke,New York,6258
2016,Stroke,North Carolina,4940
2016,Stroke,North Dakota,311
2016,Stroke,Ohio,5987
2016,Stroke,Oklahoma,1859
2016,Stroke,Oregon,1943
2016,Stroke,Pennsylvania,6730
2016,Stroke,Rhode Island,399
2016,Stroke,South Carolina,2627
2016,Stroke,South Dakota,420
2016,Stroke,Tennessee,3508
2016,Stroke,Texas,10673
2016,Stroke,Utah,932
2016,Stroke,Vermont,247
2016,Stroke,Virginia,3502
2016,Stroke,Washington,2910
2016,Stroke,West Virginia,1039
2016,Stroke,Wisconsin,2481
2016,Stroke,Wyoming,208
2016,Diabetes,Alabama,1183
2016,Diabetes,Alaska,124
2016,Diabetes,Arizona,2025
2016,Diabetes,Arkansas,920
2016,Diabetes,California,9124
2016,Diabetes,Colorado,938
2016,Diabetes,Connecticut,699
2016,Diabetes,Delaware,203
2016,Diabetes,District of Columbia,127
2016,Diabetes,Florida,5782
2016,Diabetes,Georgia,2238
2016,Diabetes,Hawaii,285
2016,Diabetes,Idaho,375
2016,Diabetes,Illinois,2781
2016,Diabetes,Indiana,1992
2016,Diabetes,Iowa,847
2016,Diabetes,Kansas,727
2016,Diabetes,Kentucky,1479
2016,Diabetes,Louisiana,1324
2016,Diabetes,Maine,463
2016,Diabetes,Maryland,1358
2016,Diabetes,Massachusetts,1268
2016,Diabetes,Michigan,2672
2016,Diabetes,Minnesota,1265
2016,Diabetes,Mississippi,1084
2016,Diabetes,Missouri,1508
2016,Diabetes,Montana,311
2016,Diabetes,Nebraska,501
2016,Diabetes,Nevada,580
2016,Diabetes,New Hampshire,316
2016,Diabetes,New Jersey,1949
2016,Diabetes,New Mexico,678
2016,Diabetes,New York,4038
2016,Diabetes,North Carolina,2811
2016,Diabetes,North Dakota,171
2016,Diabetes,Ohio,3568
2016,Diabetes,Oklahoma,1393
2016,Diabetes,Oregon,1240
2016,Diabetes,Pennsylvania,3560
2016,Diabetes,Rhode Island,239
2016,Diabetes,South Carolina,1369
2016,Diabetes,South Dakota,253
2016,Diabetes,Tennessee,1883
2016,Diabetes,Texas,5470
2016,Diabetes,Utah,624
2016,Diabetes,Vermont,166
2016,Diabetes,Virginia,2062
2016,Diabetes,Washington,1673
2016,Diabetes,West Virginia,860
2016,Diabetes,Wisconsin,1440
2016,Diabetes,Wyoming,112
2016,Heart disease,Alabama,12832
2016,Heart disease,Alaska,831
2016,Heart disease,Arizona,11957
2016,Heart disease,Arkansas,8090
2016,Heart disease,California,61573
2016,Heart disease,Colorado,7277
2016,Heart disease,Connecticut,7051
2016,Heart disease,Delaware,1974
2016,Heart disease,District of Columbia,1375
2016,Heart disease,Florida,45659
2016,Heart disease,Georgia,18143
2016,Heart disease,Hawaii,2488
2016,Heart disease,Idaho,2969
2016,Heart disease,Illinois,25013
2016,Heart disease,Indiana,13952
2016,Heart disease,Iowa,6937
2016,Heart disease,Kansas,5672
2016,Heart disease,Kentucky,10519
2016,Heart disease,Louisiana,10943
2016,Heart disease,Maine,2907
2016,Heart disease,Maryland,11390
2016,Heart disease,Massachusetts,11921
2016,Heart disease,Michigan,25304
2016,Heart disease,Minnesota,7825
2016,Heart disease,Mississippi,7865
2016,Heart disease,Missouri,14579
2016,Heart disease,Montana,2138
2016,Heart disease,Nebraska,3322
2016,Heart disease,Nevada,6457
2016,Heart disease,New Hampshire,2631
2016,Heart disease,New Jersey,18597
2016,Heart disease,New Mexico,3800
2016,Heart disease,New York,44076
2016,Heart disease,North Carolina,18266
2016,Heart disease,North Dakota,1338
2016,Heart disease,Ohio,27410
2016,Heart disease,Oklahoma,10209
2016,Heart disease,Oregon,6968
2016,Heart disease,Pennsylvania,31990
2016,Heart disease,Rhode Island,2256
2016,Heart disease,South Carolina,10195
2016,Heart disease,South Dakota,1729
2016,Heart disease,Tennessee,15429
2016,Heart disease,Texas,43772
2016,Heart disease,Utah,3636
2016,Heart disease,Vermont,1366
2016,Heart disease,Virginia,14124
2016,Heart disease,Washington,11161
2016,Heart disease,West Virginia,4767
2016,Heart disease,Wisconsin,11526
2016,Heart disease,Wyoming,1051
2015,Stroke,Alabama,2937
2015,Stroke,Alaska,182
2015,Stroke,Arizona,2522
2015,Stroke,Arkansas,1653
2015,Stroke,California,15065
2015,Stroke,Colorado,1856
2015,Stroke,Connecticut,1388
2015,Stroke,Delaware,466
2015,Stroke,District of Columbia,242
2015,Stroke,Florida,11433
2015,Stroke,Georgia,4335
2015,Stroke,Hawaii,735
2015,Stroke,Idaho,641
2015,Stroke,Illinois,5709
2015,Stroke,Indiana,2959
2015,Stroke,Iowa,1418
2015,Stroke,Kansas,1364
2015,Stroke,Kentucky,2050
2015,Stroke,Louisiana,2280
2015,Stroke,Maine,616
2015,Stroke,Maryland,2540
2015,Stroke,Massachusetts,2475
2015,Stroke,Michigan,4666
2015,Stroke,Minnesota,2238
2015,Stroke,Mississippi,1734
2015,Stroke,Missouri,3037
2015,Stroke,Montana,458
2015,Stroke,Nebraska,776
2015,Stroke,Nevada,1078
2015,Stroke,New Hampshire,457
2015,Stroke,New Jersey,3413
2015,Stroke,New Mexico,786
2015,Stroke,New York,6292
2015,Stroke,North Carolina,5033
2015,Stroke,North Dakota,308
2015,Stroke,Ohio,5945
2015,Stroke,Oklahoma,1881
2015,Stroke,Oregon,1873
2015,Stroke,Pennsylvania,6987
2015,Stroke,Rhode Island,394
2015,Stroke,South Carolina,2600
2015,Stroke,South Dakota,383
2015,Stroke,Tennessee,3447
2015,Stroke,Texas,10485
2015,Stroke,Utah,888
2015,Stroke,Vermont,307
2015,Stroke,Virginia,3393
2015,Stroke,Washington,2703
2015,Stroke,West Virginia,1079
2015,Stroke,Wisconsin,2618
2015,Stroke,Wyoming,198
2015,Diabetes,Alabama,1255
2015,Diabetes,Alaska,142
2015,Diabetes,Arizona,2081
2015,Diabetes,Arkansas,886
2015,Diabetes,California,8845
2015,Diabetes,Colorado,887
2015,Diabetes,Connecticut,653
2015,Diabetes,Delaware,215
2015,Diabetes,District of Columbia,162
2015,Diabetes,Florida,5403
2015,Diabetes,Georgia,2210
2015,Diabetes,Hawaii,263
2015,Diabetes,Idaho,403
2015,Diabetes,Illinois,2817
2015,Diabetes,Indiana,2030
2015,Diabetes,Iowa,1077
2015,Diabetes,Kansas,684
2015,Diabetes,Kentucky,1458
2015,Diabetes,Louisiana,1199
2015,Diabetes,Maine,407
2015,Diabetes,Maryland,1243
2015,Diabetes,Massachusetts,1398
2015,Diabetes,Michigan,2751
2015,Diabetes,Minnesota,1221
2015,Diabetes,Mississippi,1092
2015,Diabetes,Missouri,1468
2015,Diabetes,Montana,321
2015,Diabetes,Nebraska,553
2015,Diabetes,Nevada,420
2015,Diabetes,New Hampshire,308
2015,Diabetes,New Jersey,1933
2015,Diabetes,New Mexico,608
2015,Diabetes,New York,4045
2015,Diabetes,North Carolina,2746
2015,Diabetes,North Dakota,195
2015,Diabetes,Ohio,3645
2015,Diabetes,Oklahoma,1442
2015,Diabetes,Oregon,1148
2015,Diabetes,Pennsylvania,3777
2015,Diabetes,Rhode Island,276
2015,Diabetes,South Carolina,1347
2015,Diabetes,South Dakota,282
2015,Diabetes,Tennessee,1798
2015,Diabetes,Texas,5521
2015,Diabetes,Utah,604
2015,Diabetes,Vermont,159
2015,Diabetes,Virginia,2044
2015,Diabetes,Washington,1811
2015,Diabetes,West Virginia,784
2015,Diabetes,Wisconsin,1382
2015,Diabetes,Wyoming,136
2015,Heart disease,Alabama,12981
2015,Heart disease,Alaska,846
2015,Heart disease,Arizona,11458
2015,Heart disease,Arkansas,7938
2015,Heart disease,California,61289
2015,Heart disease,Colorado,7009
2015,Heart disease,Connecticut,7205
2015,Heart disease,Delaware,1940
2015,Heart disease,District of Columbia,1217
2015,Heart disease,Florida,45441
2015,Heart disease,Georgia,17769
2015,Heart disease,Hawaii,2605
2015,Heart disease,Idaho,2825
2015,Heart disease,Illinois,25652
2015,Heart disease,Indiana,13948
2015,Heart disease,Iowa,6813
2015,Heart disease,Kansas,5624
2015,Heart disease,Kentucky,10077
2015,Heart disease,Louisiana,10665
2015,Heart disease,Maine,3009
2015,Heart disease,Maryland,11481
2015,Heart disease,Massachusetts,12130
2015,Heart disease,Michigan,24794
2015,Heart disease,Minnesota,7844
2015,Heart disease,Mississippi,7969
2015,Heart disease,Missouri,14808
2015,Heart disease,Montana,2104
2015,Heart disease,Nebraska,3591
2015,Heart disease,Nevada,6114
2015,Heart disease,New Hampshire,2571
2015,Heart disease,New Jersey,18647
2015,Heart disease,New Mexico,3508
2015,Heart disease,New York,44450
2015,Heart disease,North Carolina,18474
2015,Heart disease,North Dakota,1323
2015,Heart disease,Ohio,28069
2015,Heart disease,Oklahoma,10310
2015,Heart disease,Oregon,6859
2015,Heart disease,Pennsylvania,32042
2015,Heart disease,Rhode Island,2371
2015,Heart disease,South Carolina,10092
2015,Heart disease,South Dakota,1711
2015,Heart disease,Tennessee,15730
2015,Heart disease,Texas,43298
2015,Heart disease,Utah,3598
2015,Heart disease,Vermont,1311
2015,Heart disease,Virginia,14077
2015,Heart disease,Washington,11025
2015,Heart disease,West Virginia,4727
2015,Heart disease,Wisconsin,11473
2015,Heart disease,Wyoming,1030
2014,Stroke,Alabama,2663
2014,Stroke,Alaska,157
2014,Stroke,Arizona,2235
2014,Stroke,Arkansas,1583
2014,Stroke,California,13731
2014,Stroke,Colorado,1714
2014,Stroke,Connecticut,1266
2014,Stroke,Delaware,439
2014,Stroke,District of Columbia,214
2014,Stroke,Florida,9770
2014,Stroke,Georgia,3948
2014,Stroke,Hawaii,655
2014,Stroke,Idaho,640
2014,Stroke,Illinois,5489
2014,Stroke,Indiana,3107
2014,Stroke,Iowa,1433
2014,Stroke,Kansas,1363
2014,Stroke,Kentucky,2050
2014,Stroke,Louisiana,2230
2014,Stroke,Maine,628
2014,Stroke,Maryland,2469
2014,Stroke,Massachusetts,2460
2014,Stroke,Michigan,4596
2014,Stroke,Minnesota,2202
2014,Stroke,Mississippi,1584
2014,Stroke,Missouri,3030
2014,Stroke,Montana,480
2014,Stroke,Nebraska,798
2014,Stroke,Nevada,948
2014,Stroke,New Hampshire,474
2014,Stroke,New Jersey,3419
2014,Stroke,New Mexico,822
2014,Stroke,New York,6212
2014,Stroke,North Carolina,4702
2014,Stroke,North Dakota,325
2014,Stroke,Ohio,5791
2014,Stroke,Oklahoma,1847
2014,Stroke,Oregon,1821
2014,Stroke,Pennsylvania,6576
2014,Stroke,Rhode Island,373
2014,Stroke,South Carolina,2393
2014,Stroke,South Dakota,439
2014,Stroke,Tennessee,3326
2014,Stroke,Texas,9898
2014,Stroke,Utah,856
2014,Stroke,Vermont,266
2014,Stroke,Virginia,3229
2014,Stroke,Washington,2649
2014,Stroke,West Virginia,1103
2014,Stroke,Wisconsin,2511
2014,Stroke,Wyoming,189
2014,Diabetes,Alabama,1281
2014,Diabetes,Alaska,113
2014,Diabetes,Arizona,1936
2014,Diabetes,Arkansas,828
2014,Diabetes,California,8249
2014,Diabetes,Colorado,835
2014,Diabetes,Connecticut,685
2014,Diabetes,Delaware,226
2014,Diabetes,District of Columbia,119
2014,Diabetes,Florida,5371
2014,Diabetes,Georgia,2230
2014,Diabetes,Hawaii,276
2014,Diabetes,Idaho,409
2014,Diabetes,Illinois,2712
2014,Diabetes,Indiana,1819
2014,Diabetes,Iowa,1019
2014,Diabetes,Kansas,643
2014,Diabetes,Kentucky,1175
2014,Diabetes,Louisiana,1238
2014,Diabetes,Maine,414
2014,Diabetes,Maryland,1305
2014,Diabetes,Massachusetts,1202
2014,Diabetes,Michigan,2844
2014,Diabetes,Minnesota,1193
2014,Diabetes,Mississippi,1015
2014,Diabetes,Missouri,1423
2014,Diabetes,Montana,250
2014,Diabetes,Nebraska,473
2014,Diabetes,Nevada,350
2014,Diabetes,New Hampshire,300
2014,Diabetes,New Jersey,2062
2014,Diabetes,New Mexico,671
2014,Diabetes,New York,4064
2014,Diabetes,North Carolina,2687
2014,Diabetes,North Dakota,176
2014,Diabetes,Ohio,3641
2014,Diabetes,Oklahoma,1261
2014,Diabetes,Oregon,1083
2014,Diabetes,Pennsylvania,3765
2014,Diabetes,Rhode Island,252
2014,Diabetes,South Carolina,1239
2014,Diabetes,South Dakota,224
2014,Diabetes,Tennessee,1727
2014,Diabetes,Texas,5348
2014,Diabetes,Utah,570
2014,Diabetes,Vermont,154
2014,Diabetes,Virginia,1683
2014,Diabetes,Washington,1668
2014,Diabetes,West Virginia,818
2014,Diabetes,Wisconsin,1352
2014,Diabetes,Wyoming,110
2014,Heart disease,Alabama,12461
2014,Heart disease,Alaska,782
2014,Heart disease,Arizona,10805
2014,Heart disease,Arkansas,7581
2014,Heart disease,California,58189
2014,Heart disease,Colorado,6900
2014,Heart disease,Connecticut,7018
2014,Heart disease,Delaware,1921
2014,Heart disease,District of Columbia,1324
2014,Heart disease,Florida,44511
2014,Heart disease,Georgia,17107
2014,Heart disease,Hawaii,2528
2014,Heart disease,Idaho,2676
2014,Heart disease,Illinois,25024
2014,Heart disease,Indiana,13764
2014,Heart disease,Iowa,6615
2014,Heart disease,Kansas,5479
2014,Heart disease,Kentucky,10013
2014,Heart disease,Louisiana,10647
2014,Heart disease,Maine,2776
2014,Heart disease,Maryland,11135
2014,Heart disease,Massachusetts,11817
2014,Heart disease,Michigan,24692
2014,Heart disease,Minnesota,7659
2014,Heart disease,Mississippi,7538
2014,Heart disease,Missouri,14338
2014,Heart disease,Montana,1957
2014,Heart disease,Nebraska,3296
2014,Heart disease,Nevada,5761
2014,Heart disease,New Hampshire,2464
2014,Heart disease,New Jersey,18319
2014,Heart disease,New Mexico,3424
2014,Heart disease,New York,43116
2014,Heart disease,North Carolina,17592
2014,Heart disease,North Dakota,1381
2014,Heart disease,Ohio,27000
2014,Heart disease,Oklahoma,9868
2014,Heart disease,Oregon,6524
2014,Heart disease,Pennsylvania,31353
2014,Heart disease,Rhode Island,2341
2014,Heart disease,South Carolina,9964
2014,Heart disease,South Dakota,1704
2014,Heart disease,Tennessee,15223
2014,Heart disease,Texas,41479
2014,Heart disease,Utah,3431
2014,Heart disease,Vermont,1311
2014,Heart disease,Virginia,13874
2014,Heart disease,Washington,10710
2014,Heart disease,West Virginia,4692
2014,Heart disease,Wisconsin,11229
2014,Heart disease,Wyoming,1035
2013,Stroke,Alabama,2604
2013,Stroke,Alaska,189
2013,Stroke,Arizona,2162
2013,Stroke,Arkansas,1637
2013,Stroke,California,13698
2013,Stroke,Colorado,1588
2013,Stroke,Connecticut,1348
2013,Stroke,Delaware,409
2013,Stroke,District of Columbia,187
2013,Stroke,Florida,8698
2013,Stroke,Georgia,3694
2013,Stroke,Hawaii,634
2013,Stroke,Idaho,598
2013,Stroke,Illinois,5294
2013,Stroke,Indiana,2996
2013,Stroke,Iowa,1409
2013,Stroke,Kansas,1320
2013,Stroke,Kentucky,1990
2013,Stroke,Louisiana,2098
2013,Stroke,Maine,620
2013,Stroke,Maryland,2315
2013,Stroke,Massachusetts,2354
2013,Stroke,Michigan,4373
2013,Stroke,Minnesota,2073
2013,Stroke,Mississippi,1500
2013,Stroke,Missouri,2935
2013,Stroke,Montana,480
2013,Stroke,Nebraska,820
2013,Stroke,Nevada,905
2013,Stroke,New Hampshire,441
2013,Stroke,New Jersey,3456
2013,Stroke,New Mexico,689
2013,Stroke,New York,6176
2013,Stroke,North Carolina,4503
2013,Stroke,North Dakota,306
2013,Stroke,Ohio,5690
2013,Stroke,Oklahoma,1880
2013,Stroke,Oregon,1775
2013,Stroke,Pennsylvania,6604
2013,Stroke,Rhode Island,397
2013,Stroke,South Carolina,2508
2013,Stroke,South Dakota,418
2013,Stroke,Tennessee,3157
2013,Stroke,Texas,9283
2013,Stroke,Utah,836
2013,Stroke,Vermont,260
2013,Stroke,Virginia,3287
2013,Stroke,Washington,2652
2013,Stroke,West Virginia,983
2013,Stroke,Wisconsin,2536
2013,Stroke,Wyoming,213
2013,Diabetes,Alabama,1349
2013,Diabetes,Alaska,112
2013,Diabetes,Arizona,1786
2013,Diabetes,Arkansas,835
2013,Diabetes,California,8057
2013,Diabetes,Colorado,788
2013,Diabetes,Connecticut,664
2013,Diabetes,Delaware,218
2013,Diabetes,District of Columbia,108
2013,Diabetes,Florida,5238
2013,Diabetes,Georgia,2199
2013,Diabetes,Hawaii,271
2013,Diabetes,Idaho,404
2013,Diabetes,Illinois,2798
2013,Diabetes,Indiana,1943
2013,Diabetes,Iowa,747
2013,Diabetes,Kansas,654
2013,Diabetes,Kentucky,1187
2013,Diabetes,Louisiana,1329
2013,Diabetes,Maine,373
2013,Diabetes,Maryland,1249
2013,Diabetes,Massachusetts,1142
2013,Diabetes,Michigan,2825
2013,Diabetes,Minnesota,1163
2013,Diabetes,Mississippi,1071
2013,Diabetes,Missouri,1477
2013,Diabetes,Montana,250
2013,Diabetes,Nebraska,471
2013,Diabetes,Nevada,424
2013,Diabetes,New Hampshire,310
2013,Diabetes,New Jersey,2043
2013,Diabetes,New Mexico,646
2013,Diabetes,New York,4094
2013,Diabetes,North Carolina,2402
2013,Diabetes,North Dakota,197
2013,Diabetes,Ohio,3563
2013,Diabetes,Oklahoma,1269
2013,Diabetes,Oregon,1109
2013,Diabetes,Pennsylvania,3804
2013,Diabetes,Rhode Island,258
2013,Diabetes,South Carolina,1240
2013,Diabetes,South Dakota,237
2013,Diabetes,Tennessee,1827
2013,Diabetes,Texas,5273
2013,Diabetes,Utah,578
2013,Diabetes,Vermont,139
2013,Diabetes,Virginia,1626
2013,Diabetes,Washington,1616
2013,Diabetes,West Virginia,841
2013,Diabetes,Wisconsin,1285
2013,Diabetes,Wyoming,89
2013,Heart disease,Alabama,12472
2013,Heart disease,Alaska,706
2013,Heart disease,Arizona,10755
2013,Heart disease,Arkansas,7377
2013,Heart disease,California,60299
2013,Heart disease,Colorado,6456
2013,Heart disease,Connecticut,7090
2013,Heart disease,Delaware,1861
2013,Heart disease,District of Columbia,1340
2013,Heart disease,Florida,42656
2013,Heart disease,Georgia,16550
2013,Heart disease,Hawaii,2521
2013,Heart disease,Idaho,2495
2013,Heart disease,Illinois,24839
2013,Heart disease,Indiana,13773
2013,Heart disease,Iowa,6995
2013,Heart disease,Kansas,5364
2013,Heart disease,Kentucky,9971
2013,Heart disease,Louisiana,10346
2013,Heart disease,Maine,2807
2013,Heart disease,Maryland,11244
2013,Heart disease,Massachusetts,12023
2013,Heart disease,Michigan,24156
2013,Heart disease,Minnesota,7714
2013,Heart disease,Mississippi,7715
2013,Heart disease,Missouri,14095
2013,Heart disease,Montana,2004
2013,Heart disease,Nebraska,3381
2013,Heart disease,Nevada,5434
2013,Heart disease,New Hampshire,2434
2013,Heart disease,New Jersey,18460
2013,Heart disease,New Mexico,3425
2013,Heart disease,New York,44039
2013,Heart disease,North Carolina,17830
2013,Heart disease,North Dakota,1382
2013,Heart disease,Ohio,26878
2013,Heart disease,Oklahoma,9721
2013,Heart disease,Oregon,6523
2013,Heart disease,Pennsylvania,31629
2013,Heart disease,Rhode Island,2364
2013,Heart disease,South Carolina,9648
2013,Heart disease,South Dakota,1630
2013,Heart disease,Tennessee,14803
2013,Heart disease,Texas,40203
2013,Heart disease,Utah,3323
2013,Heart disease,Vermont,1220
2013,Heart disease,Virginia,13663
2013,Heart disease,Washington,10524
2013,Heart disease,West Virginia,4666
2013,Heart disease,Wisconsin,11362
2013,Heart disease,Wyoming,939
2012,Stroke,Alabama,2628
2012,Stroke,Alaska,188
2012,Stroke,Arizona,2164
2012,Stroke,Arkansas,1664
2012,Stroke,California,13542
2012,Stroke,Colorado,1576
2012,Stroke,Connecticut,1273
2012,Stroke,Delaware,404
2012,Stroke,District of Columbia,207
2012,Stroke,Florida,8456
2012,Stroke,Georgia,3636
2012,Stroke,Hawaii,634
2012,Stroke,Idaho,610
2012,Stroke,Illinois,5337
2012,Stroke,Indiana,3073
2012,Stroke,Iowa,1422
2012,Stroke,Kansas,1343
2012,Stroke,Kentucky,2073
2012,Stroke,Louisiana,2039
2012,Stroke,Maine,619
2012,Stroke,Maryland,2280
2012,Stroke,Massachusetts,2371
2012,Stroke,Michigan,4414
2012,Stroke,Minnesota,2081
2012,Stroke,Mississippi,1502
2012,Stroke,Missouri,2989
2012,Stroke,Montana,415
2012,Stroke,Nebraska,776
2012,Stroke,Nevada,897
2012,Stroke,New Hampshire,457
2012,Stroke,New Jersey,3440
2012,Stroke,New Mexico,677
2012,Stroke,New York,6139
2012,Stroke,North Carolina,4410
2012,Stroke,North Dakota,343
2012,Stroke,Ohio,5788
2012,Stroke,Oklahoma,1893
2012,Stroke,Oregon,1763
2012,Stroke,Pennsylvania,6546
2012,Stroke,Rhode Island,433
2012,Stroke,South Carolina,2349
2012,Stroke,South Dakota,408
2012,Stroke,Tennessee,3120
2012,Stroke,Texas,9305
2012,Stroke,Utah,809
2012,Stroke,Vermont,281
2012,Stroke,Virginia,3394
2012,Stroke,Washington,2513
2012,Stroke,West Virginia,1140
2012,Stroke,Wisconsin,2520
2012,Stroke,Wyoming,205
2012,Diabetes,Alabama,1300
2012,Diabetes,Alaska,107
2012,Diabetes,Arizona,1736
2012,Diabetes,Arkansas,833
2012,Diabetes,California,7895
2012,Diabetes,Colorado,797
2012,Diabetes,Connecticut,631
2012,Diabetes,Delaware,241
2012,Diabetes,District of Columbia,145
2012,Diabetes,Florida,5092
2012,Diabetes,Georgia,2088
2012,Diabetes,Hawaii,277
2012,Diabetes,Idaho,371
2012,Diabetes,Illinois,2706
2012,Diabetes,Indiana,1860
2012,Diabetes,Iowa,692
2012,Diabetes,Kansas,639
